"","player_name","new_club","price_pounds","new_league"
"119","Francesco Cassata","Sassuolo","4464905","Serie A"
"120","Jordan Veretout","Fiorentina","6257895","Serie A"
"121","Pa Konate","SPAL","250000","Serie A"
"122","Alberto Grassi","SPAL"," ","Serie A"
"123","Filippo Romagna","Cagliari","6799560","Serie A"
"124","Dario del Fabro","Juventus","4026055","Serie A"
"125","Bram Nuytinck","Udinese","2700000","Serie A"
"126","Edoardo Goldaniga","Sassuolo","4474280","Serie A"
"127","Marson","Sassuolo"," ","Serie A"
"128","Marco Silvestri","Verona"," ","Serie A"
"129","Matías Vecino","Inter","21510000","Serie A"
"130","Felipe Caicedo","Lazio","2200000","Serie A"
"131","Alex Meret","SPAL"," ","Serie A"
"132","Riad Bajic","Udinese","4496800","Serie A"
"133","Arlind Ajeti","Crotone"," ","Serie A"
"134","Gastón Ramírez","Sampdoria","9937675","Serie A"
"135","Gianmarco Ferrari","Sampdoria"," ","Serie A"
"136","Saphir Taïder","Bologna","3500000","Serie A"
"137","Raman Chibsah","Benevento","750000","Serie A"
"138","Bright Gyamfi","Benevento","250000","Serie A"
"139","Filip Helander","Bologna","1804735","Serie A"
"140","Nicolo Cherubin","Verona"," ","Serie A"
"141","Paolo Farago","Cagliari","2075450","Serie A"
"142","Marco Fossati","Verona","250000","Serie A"
"143","Filippo Costa","SPAL"," ","Serie A"
"144","Davide Faraoni","Crotone"," ","Serie A"
"145","Carlos Sánchez","Fiorentina","2500000","Serie A"
"146","Sebastián Cristoforo","Fiorentina","2100000","Serie A"
"147","Maximiliano Olivera","Fiorentina"," ","Serie A"
"148","Andrej Galabinov","Genoa"," ","Serie A"
"149","Rodrigo Bentancur","Juventus","9023680","Serie A"
"150","Simone Palombi","Lazio","250000","Serie A"
"151","Juan Jesus","Roma","6800000","Serie A"
"152","Antonin Barak","Udinese","2500000","Serie A"
"153","Nicolas N'Koulou","Torino"," ","Serie A"
"154","Rolando Mandragora","Crotone"," ","Serie A"
"155","Marco Benassi","Fiorentina","9000000","Serie A"
"156","Dalbert Henrique","Inter","18000000","Serie A"
"157"," Valentin Eysseric","Fiorentina","3160000","Serie A"
"158","Marten De Roon","Atalanta","13000000","Serie A"
"159","Tomas Rincon","Torino"," ","Serie A"
"160","Valon Behrami","Udinese"," ","Serie A"
"161","Svante Ingelsson","Udinese","850000","Serie A"
"162","Gil Dias","Fiorentina"," ","Serie A"
"163","Blaise Matuidi","Juventus","18200000","Serie A"
